date_,adj close_escorts.ns,close_escorts.ns,high_escorts.ns,low_escorts.ns,open_escorts.ns,volume_escorts.ns
2024-07-29,4109.7890625,4145.60009765625,4185.9501953125,4135.0498046875,4185.9501953125,335633
2024-07-30,4120.99072265625,4156.89990234375,4200.7998046875,4147.35009765625,4158.0,291358
2024-07-31,4137.3486328125,4173.39990234375,4190.10009765625,4117.5498046875,4145.0,302143
2024-08-01,4114.150390625,4150.0,4234.4501953125,4090.5,4200.0,359664
2024-08-02,3871.46533203125,3905.199951171875,4126.89990234375,3890.0,4108.0,606891
2024-08-05,3731.038818359375,3763.550048828125,3849.89990234375,3698.050048828125,3820.050048828125,577844
2024-08-06,3666.302978515625,3698.25,3907.449951171875,3684.050048828125,3771.89990234375,414341
2024-08-07,3703.627685546875,3735.89990234375,3780.0,3710.050048828125,3724.949951171875,240669
2024-08-08,3657.628662109375,3689.5,3732.75,3670.0,3720.0,241999
2024-08-09,3655.943359375,3687.800048828125,3734.949951171875,3671.050048828125,3705.449951171875,239948
2024-08-12,3682.263916015625,3714.35009765625,3732.64990234375,3655.0,3685.0,168767
2024-08-13,3672.1025390625,3704.10009765625,3768.5,3693.64990234375,3720.25,179475
2024-08-14,3627.887939453125,3659.5,3718.35009765625,3637.0,3710.300048828125,124221
2024-08-16,3699.761474609375,3732.0,3742.0,3674.949951171875,3674.949951171875,178664
2024-08-19,3696.589111328125,3728.800048828125,3784.949951171875,3719.75,3780.0,111006
2024-08-20,3716.7138671875,3749.10009765625,3755.5,3708.050048828125,3728.800048828125,88809
2024-08-21,3754.7822265625,3787.5,3808.5,3710.0,3750.0,248111
2024-08-22,3777.13720703125,3810.050048828125,3821.25,3787.89990234375,3814.0,135221
2024-08-23,3842.468017578125,3875.949951171875,3903.0,3772.550048828125,3825.0,329691
2024-08-26,3845.392333984375,3878.89990234375,3917.5,3866.5,3900.199951171875,118350
2024-08-27,3832.504638671875,3865.89990234375,3914.199951171875,3848.050048828125,3879.0,195737
2024-08-28,3821.450927734375,3854.75,3908.949951171875,3830.85009765625,3880.0,85910
2024-08-29,3783.531494140625,3816.5,3872.0,3775.0,3854.75,131040
2024-08-30,3820.6083984375,3853.89990234375,3874.800048828125,3830.60009765625,3835.0,66919
2024-09-02,3751.362060546875,3784.050048828125,3860.0,3768.85009765625,3860.0,108037
2024-09-03,3761.077392578125,3793.85009765625,3826.85009765625,3768.800048828125,3790.10009765625,92739
2024-09-04,3745.3642578125,3778.0,3812.89990234375,3738.10009765625,3748.0,67811
2024-09-05,3711.757080078125,3744.10009765625,3810.800048828125,3731.64990234375,3780.0,74937
2024-09-06,3655.150390625,3687.0,3755.5,3675.0,3726.0,72008
2024-09-09,3652.572509765625,3684.39990234375,3693.0,3621.0,3684.0,97457
2024-09-10,3710.12109375,3742.449951171875,3754.449951171875,3690.050048828125,3700.0,147781
2024-09-11,3729.056396484375,3761.550048828125,3797.550048828125,3735.14990234375,3764.0,210800
2024-09-12,3758.499755859375,3791.25,3801.60009765625,3748.5,3779.949951171875,82205
2024-09-13,3779.61572265625,3812.550048828125,3836.64990234375,3787.300048828125,3800.0,261875
2024-09-16,3814.85888671875,3848.10009765625,3869.5,3806.0,3815.60009765625,138899
2024-09-17,3853.1748046875,3886.75,3929.300048828125,3830.0,3880.0,311425
2024-09-18,3765.439208984375,3798.25,3910.0,3783.14990234375,3899.800048828125,129279
2024-09-19,3783.779296875,3816.75,3917.0,3760.0,3830.0,514007
2024-09-20,4044.01171875,4079.25,4097.39990234375,3820.89990234375,3835.949951171875,1701708
2024-09-23,4197.326171875,4233.89990234375,4252.7001953125,4079.25,4105.9501953125,543508
2024-09-24,4311.72900390625,4349.2998046875,4372.14990234375,4270.0,4270.0,930475
2024-09-25,4336.90966796875,4374.7001953125,4384.0,4297.5498046875,4325.10009765625,282970
2024-09-26,4313.76171875,4351.35009765625,4391.64990234375,4145.0,4370.0498046875,227760
2024-09-27,4290.61328125,4328.0,4420.0,4292.0,4351.35009765625,356453
2024-09-30,4231.92431640625,4268.7998046875,4348.89990234375,4230.0,4328.0,208230
2024-10-01,4172.83935546875,4209.2001953125,4340.9501953125,4156.10009765625,4268.7998046875,262102
2024-10-03,4116.1826171875,4152.0498046875,4224.7998046875,4115.0498046875,4185.0,182135
2024-10-04,3980.961181640625,4015.64990234375,4158.7001953125,4001.25,4127.39990234375,162454
2024-10-07,3816.097900390625,3849.35009765625,4032.60009765625,3822.89990234375,4024.89990234375,213505
2024-10-08,3822.095458984375,3855.39990234375,3912.89990234375,3797.050048828125,3860.0,317796
2024-10-09,4010.156982421875,4045.10009765625,4075.800048828125,3905.60009765625,3915.0,470400
2024-10-10,3939.472900390625,3973.800048828125,4084.14990234375,3964.050048828125,4068.0,180370
2024-10-11,3903.932373046875,3937.949951171875,3980.5,3899.699951171875,3973.800048828125,210348
