date_,adj close_bayercrop.ns,close_bayercrop.ns,high_bayercrop.ns,low_bayercrop.ns,open_bayercrop.ns,volume_bayercrop.ns
2025-02-27,4799.8828125,4926.0,5010.0498046875,4669.0498046875,4728.0498046875,78848
2025-02-28,4608.02392578125,4729.10009765625,4880.10009765625,4605.0,4880.10009765625,43431
2025-03-03,4583.56640625,4704.0,4768.2998046875,4548.7998046875,4738.25,18456
2025-03-04,4722.41845703125,4846.5,4895.0,4600.39990234375,4615.0498046875,20054
2025-03-05,4706.828125,4830.5,4918.89990234375,4807.60009765625,4848.10009765625,20113
2025-03-06,4752.576171875,4877.4501953125,4980.2998046875,4840.0498046875,4840.0498046875,27469
2025-03-07,4752.576171875,4877.4501953125,4942.64990234375,4825.0,4879.0498046875,23687
2025-03-10,4783.318359375,4909.0,4935.0,4843.64990234375,4895.0,30976
2025-03-11,4718.08203125,4842.0498046875,4925.7998046875,4762.25,4917.7998046875,20337
2025-03-12,4609.8271484375,4730.9501953125,4878.85009765625,4674.7001953125,4850.0,46087
2025-03-13,4616.64794921875,4737.9501953125,4795.39990234375,4705.0,4730.9501953125,17701
2025-03-17,4697.86328125,4821.2998046875,4847.0,4711.64990234375,4750.0498046875,14832
2025-03-18,4697.86328125,4821.2998046875,4821.2998046875,4821.2998046875,4821.2998046875,0
2025-03-19,4808.4091796875,4934.75,5007.39990234375,4883.5,4899.9501953125,28830
2025-03-20,4843.53564453125,4970.7998046875,5020.0,4938.2998046875,4983.9501953125,13970
2025-03-21,4749.4580078125,4874.25,5000.5,4822.2001953125,4988.0,44766
2025-03-24,4810.0654296875,4936.4501953125,5025.0,4882.2001953125,4900.5498046875,21671
2025-03-25,4745.462890625,4870.14990234375,4974.4501953125,4810.0,4969.0,26386
2025-03-26,4731.0419921875,4855.35009765625,4894.7998046875,4849.0,4885.0,9929
2025-03-27,4587.75634765625,4708.2998046875,4890.0,4661.0498046875,4855.0,86238
2025-03-28,4783.9033203125,4909.60009765625,5288.89990234375,4757.85009765625,4777.60009765625,408475
2025-04-01,4689.19140625,4812.39990234375,4945.10009765625,4770.0,4905.0,26147
2025-04-02,4694.55078125,4817.89990234375,4839.9501953125,4723.0,4830.5498046875,35479
2025-04-03,4806.119140625,4932.39990234375,4949.0,4753.39990234375,4760.5,30054
2025-04-04,4692.6015625,4815.89990234375,4932.39990234375,4761.10009765625,4932.39990234375,19919
2025-04-07,4580.01025390625,4700.35009765625,4802.0,4602.5498046875,4654.0498046875,32668
2025-04-08,4696.45068359375,4819.85009765625,4849.89990234375,4711.10009765625,4711.2001953125,25606
2025-04-09,4600.0341796875,4720.89990234375,4806.9501953125,4701.0,4743.2001953125,13294
2025-04-11,4703.3203125,4826.89990234375,4894.89990234375,4738.10009765625,4768.0,26414
