date_,adj close_ultracemco.ns,close_ultracemco.ns,high_ultracemco.ns,low_ultracemco.ns,open_ultracemco.ns,volume_ultracemco.ns
2025-02-14,11192.9013671875,11263.849609375,11589.0,11182.0,11589.0,279199
2025-02-17,11417.7255859375,11490.099609375,11509.900390625,11043.400390625,11219.0,166053
2025-02-18,11237.66796875,11308.900390625,11460.599609375,11251.0,11450.0,268795
2025-02-19,11220.4267578125,11291.5498046875,11460.0,11231.0,11290.0,157580
2025-02-20,11216.501953125,11287.599609375,11330.0,11245.2001953125,11291.099609375,142187
2025-02-21,11086.97265625,11157.25,11290.0,10990.0,11265.0,320240
2025-02-24,10973.0947265625,11042.650390625,11170.0,10975.0498046875,11008.650390625,175294
2025-02-25,10895.08984375,10964.150390625,11054.25,10841.0,11042.650390625,296499
2025-02-27,10381.8427734375,10447.650390625,10800.0,10264.400390625,10800.0,1722295
2025-02-28,10064.6533203125,10128.4501953125,10490.0,10047.849609375,10490.0,1230856
2025-03-03,10275.6650390625,10340.7998046875,10621.7998046875,10283.150390625,10319.25,835344
2025-03-04,10304.7802734375,10370.099609375,10454.7998046875,10240.0,10250.0,352922
2025-03-05,10398.2880859375,10464.2001953125,10506.7998046875,10295.25,10387.900390625,310832
2025-03-06,10427.4033203125,10493.5,10540.0,10317.2001953125,10539.7998046875,365920
2025-03-07,10515.744140625,10582.400390625,10609.599609375,10446.7001953125,10501.0,302339
2025-03-10,10453.8359375,10520.099609375,10645.599609375,10477.0,10589.0,165649
2025-03-11,10373.4951171875,10439.25,10508.5498046875,10356.25,10411.0,180753
2025-03-12,10454.134765625,10520.400390625,10549.7998046875,10362.0,10480.0,299765
2025-03-13,10386.263671875,10452.099609375,10520.0,10380.099609375,10520.0,219474
2025-03-17,10480.666015625,10547.099609375,10577.349609375,10448.0,10546.5,212061
2025-03-18,10480.666015625,10547.099609375,10547.099609375,10547.099609375,10547.099609375,0
2025-03-19,10864.3837890625,10933.25,10945.099609375,10700.0,10710.0,269175
2025-03-20,10879.1904296875,10948.150390625,11240.0,10816.0,10931.150390625,549251
2025-03-21,10907.609375,10976.75,11064.0,10885.650390625,11019.0,656565
2025-03-24,10981.5908203125,11051.2001953125,11077.9501953125,10853.849609375,11018.9501953125,294688
2025-03-25,11349.2607421875,11421.2001953125,11478.849609375,11204.7001953125,11240.0,754457
2025-03-26,11330.2802734375,11402.099609375,11487.0,11300.0,11381.0,401569
2025-03-27,11526.5361328125,11599.599609375,11629.9501953125,11350.0,11400.5,406112
2025-03-28,11437.0537109375,11509.5498046875,11699.0,11458.650390625,11585.5,280960
2025-04-01,11306.978515625,11378.650390625,11565.650390625,11337.150390625,11350.0,263144
2025-04-02,11180.0830078125,11250.9501953125,11360.0,11178.099609375,11360.0,376468
2025-04-03,11533.4921875,11606.599609375,11650.0498046875,11155.0,11189.0,361884
2025-04-04,11426.22265625,11498.650390625,11613.5,11421.0,11599.0,222191
2025-04-07,11121.1064453125,11191.599609375,11300.0498046875,11015.0498046875,11200.0,484513
2025-04-08,11199.4599609375,11270.4501953125,11542.75,11240.7998046875,11317.75,602120
2025-04-09,11325.2626953125,11397.0498046875,11423.0,11180.0,11288.849609375,230611
2025-04-11,11430.197265625,11502.650390625,11842.349609375,11454.0498046875,11842.349609375,351037
2025-04-15,11645.1845703125,11719.0,11749.0,11581.0,11749.0,345260
2025-04-16,11654.1279296875,11728.0,11827.0,11667.0,11667.0,268150
2025-04-17,11826.0380859375,11901.0,11922.0,11600.0,11667.0,290473
2025-04-21,11858.830078125,11934.0,12110.0,11781.0,11816.0,230595
2025-04-22,11883.6728515625,11959.0,12017.0,11850.0,11934.0,334667
2025-04-23,11873.736328125,11949.0,12040.0,11826.0,12040.0,267716
2025-04-24,12082.4130859375,12159.0,12188.0,11870.0,11877.0,339743
2025-04-25,12159.921875,12237.0,12304.0,11860.0,12149.0,412558
2025-04-28,12037.6962890625,12114.0,12339.0,12001.0,12232.0,516745
2025-04-29,11794.240234375,11869.0,12222.0,11800.0,12201.0,516495
2025-04-30,11567.67578125,11641.0,11925.0,11500.0,11869.0,630392
2025-05-02,11539.8525390625,11613.0,11750.0,11481.0,11641.0,189474
