date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2024-10-21,401.129150390625,404.70001220703125,415.25,402.75,412.95001220703125,1621722
2024-10-22,394.53778076171875,398.04998779296875,412.1000061035156,396.8999938964844,401.75,2206238
2024-10-23,392.8528137207031,396.3500061035156,406.75,394.8500061035156,400.0,1666955
2024-10-24,392.0598449707031,395.54998779296875,399.0,392.70001220703125,397.75,2679695
2024-10-25,388.49163818359375,391.95001220703125,397.1000061035156,382.6000061035156,395.04998779296875,1946954
2024-10-28,385.9145812988281,389.3500061035156,395.45001220703125,385.1000061035156,395.0,2065494
2024-10-29,388.09515380859375,391.54998779296875,393.54998779296875,382.1000061035156,390.95001220703125,1925919
2024-10-30,390.0279541015625,393.5,396.1000061035156,386.79998779296875,390.04998779296875,2690156
2024-10-31,387.5500183105469,391.0,396.5,388.3500061035156,392.1499938964844,2248972
2024-11-01,388.6898498535156,392.1499938964844,394.8999938964844,391.04998779296875,394.8999938964844,106035
2024-11-04,381.35516357421875,384.75,394.20001220703125,382.20001220703125,393.79998779296875,1677666
2024-11-05,382.0985412597656,385.5,386.45001220703125,375.1000061035156,381.0,2712137
2024-11-06,398.89898681640625,402.45001220703125,403.3999938964844,384.5,386.25,1168854
2024-11-07,386.50927734375,389.95001220703125,401.6000061035156,388.70001220703125,401.5,1340940
2024-11-08,395.08294677734375,398.6000061035156,401.0,386.6000061035156,389.75,1417494
2024-11-11,387.1039733886719,390.54998779296875,406.1000061035156,389.1499938964844,398.0,3800353
2024-11-12,386.9552917480469,390.3999938964844,400.1499938964844,388.25,393.79998779296875,4078155
2024-11-13,381.6029357910156,385.0,390.04998779296875,382.8500061035156,386.25,1375437
2024-11-14,367.7760314941406,371.04998779296875,386.5,369.79998779296875,384.95001220703125,2024594
2024-11-18,380.85955810546875,384.25,397.54998779296875,374.3500061035156,379.0,10179369
2024-11-19,387.2526550292969,390.70001220703125,395.0,378.0,382.0,3577680
2024-11-21,378.5798645019531,381.95001220703125,389.8999938964844,380.95001220703125,389.0,1265315
2024-11-22,389.5819091796875,393.04998779296875,394.70001220703125,380.95001220703125,384.0,1492331
2024-11-25,401.8725280761719,405.45001220703125,408.75,394.5,395.45001220703125,2408459
2024-11-26,404.94512939453125,408.54998779296875,410.0,404.45001220703125,405.70001220703125,1695931
