date_,adj close_abbotindia.ns,close_abbotindia.ns,high_abbotindia.ns,low_abbotindia.ns,open_abbotindia.ns,volume_abbotindia.ns
2024-09-12,29282.8125,29690.650390625,29877.849609375,29389.55078125,29703.25,13721
2024-09-13,29152.970703125,29559.0,29811.19921875,29507.0,29690.650390625,4204
2024-09-16,28741.55078125,29141.849609375,29770.099609375,29096.05078125,29721.0,6235
2024-09-17,28464.3125,28860.75,29390.0,28814.80078125,29141.849609375,6373
2024-09-18,27401.416015625,27783.05078125,28999.94921875,27502.75,28999.94921875,34796
2024-09-19,27587.375,27971.599609375,28174.0,27582.55078125,28050.0,34887
2024-09-20,27820.4296875,28207.900390625,28247.55078125,27760.0,28200.0,10431
2024-09-23,27943.466796875,28332.650390625,28479.0,28225.400390625,28364.05078125,8269
2024-09-24,27867.572265625,28255.69921875,28519.94921875,28125.099609375,28400.0,7831
2024-09-25,28223.466796875,28616.55078125,28686.349609375,28157.80078125,28274.0,14877
2024-09-26,28783.810546875,29184.69921875,29299.0,28616.55078125,28800.0,20455
2024-09-27,28869.568359375,29271.650390625,29499.94921875,29092.69921875,29184.69921875,8957
2024-09-30,28764.875,29165.5,29486.400390625,29081.650390625,29450.0,5980
2024-10-01,28617.578125,29016.150390625,29256.650390625,28884.25,29050.0,5340
2024-10-03,27878.767578125,28267.05078125,29060.0,28230.0,28950.0,9326
2024-10-04,27718.5,28104.55078125,28586.900390625,27970.099609375,28260.0,10751
2024-10-07,27649.658203125,28034.75,28266.400390625,27800.0,28105.0,8513
2024-10-08,28159.0625,28551.25,28639.75,27958.75,28034.75,13879
2024-10-09,28247.431640625,28640.849609375,28944.0,28545.05078125,28944.0,7937
2024-10-10,28002.39453125,28392.400390625,28800.0,28340.0,28691.0,6927
2024-10-11,28412.533203125,28808.25,28943.94921875,28340.599609375,28392.400390625,7136
2024-10-14,28436.0546875,28832.099609375,29149.900390625,28645.099609375,28810.30078125,12958
2024-10-15,28621.76953125,29020.400390625,29300.0,28876.349609375,28991.349609375,9594
2024-10-16,28548.982421875,28946.599609375,29356.849609375,28773.80078125,29180.80078125,14556
2024-10-17,27981.978515625,28371.69921875,28928.0,28261.099609375,28903.599609375,12015
2024-10-18,28808.3203125,29209.55078125,29300.0,28290.0,28347.94921875,17456
2024-10-21,28773.849609375,29174.599609375,29525.0,29014.099609375,29250.0,7010
2024-10-22,28629.36328125,29028.099609375,29378.099609375,28945.05078125,29220.0,8645
2024-10-23,28064.283203125,28455.150390625,29230.0,28411.69921875,29000.0,9208
2024-10-24,28232.638671875,28625.849609375,28839.349609375,28350.0,28647.900390625,11040
2024-10-25,28117.4921875,28509.099609375,28848.0,28405.30078125,28724.0,6710
2024-10-28,28042.880859375,28433.44921875,28747.94921875,28000.0,28000.0,8829
2024-10-29,28081.9375,28473.05078125,28533.900390625,27423.400390625,28400.0,9711
2024-10-30,28016.6953125,28406.900390625,28679.94921875,28224.05078125,28400.0,3118
2024-10-31,28580.640625,28978.69921875,29215.400390625,28259.650390625,28406.94921875,7230
2024-11-01,28893.08984375,29295.5,29500.0,29119.0,29119.94921875,1260
2024-11-04,29055.7734375,29460.44921875,29680.0,29123.25,29150.0,23566
2024-11-05,28926.326171875,29329.19921875,29809.19921875,29040.75,29460.44921875,9203
2024-11-06,28744.70703125,29145.05078125,29445.650390625,28625.05078125,29329.19921875,10798
2024-11-07,27925.072265625,28314.0,29500.0,28020.0,29185.19921875,31203
2024-11-08,28160.83984375,28553.05078125,28909.0,28044.5,28314.0,15470
2024-11-11,28329.736328125,28724.30078125,28807.94921875,28356.05078125,28600.0,7021
2024-11-12,28205.021484375,28597.849609375,29119.0,28501.0,28799.0,5663
2024-11-13,27250.271484375,27629.80078125,28593.5,27550.0,28505.0,7236
2024-11-14,26975.49609375,27351.19921875,27903.94921875,27200.05078125,27750.0,7905
2024-11-18,26813.947265625,27187.400390625,27475.0,27051.0,27445.099609375,4672
2024-11-19,26850.388671875,27224.349609375,27506.849609375,27111.0,27337.69921875,10942
2024-11-21,26742.244140625,27114.69921875,27297.0,26912.099609375,27266.0,7808
2024-11-22,27337.751953125,27718.5,27765.900390625,27114.69921875,27150.0,6113
2024-11-25,27376.90625,27758.19921875,27978.69921875,27640.0,27899.0,4573
2024-11-26,27125.951171875,27503.75,27861.650390625,27356.05078125,27792.0,5644
2024-11-27,27118.50390625,27496.19921875,27653.150390625,27170.0,27503.75,8046
2024-11-28,27002.2265625,27378.30078125,27663.05078125,27248.05078125,27604.05078125,13006
2024-11-29,27342.583984375,27723.400390625,27926.30078125,27378.30078125,27378.30078125,11597
2024-12-02,27667.755859375,28053.099609375,28193.849609375,27800.0,27800.0,7460
2024-12-03,28050.376953125,28441.05078125,28495.099609375,27970.0,28098.80078125,13979
2024-12-04,28453.708984375,28850.0,28950.0,28357.0,28572.0,5870
2024-12-05,28641.099609375,29040.0,29150.099609375,28505.05078125,28709.0,12269
2024-12-06,28636.4140625,29035.25,29299.400390625,29000.0,29135.0,5016
2024-12-09,28711.419921875,29111.30078125,29300.0,28888.05078125,29035.25,3243
2024-12-10,28595.978515625,28994.25,29251.0,28944.05078125,29111.30078125,4616
2024-12-11,28475.703125,28872.30078125,29296.650390625,28804.25,29199.94921875,3263
2024-12-12,28353.40625,28748.30078125,28951.25,28573.75,28865.0,3076
2024-12-13,28255.224609375,28648.75,28911.94921875,28341.25,28505.0,7850
2024-12-16,27863.18359375,28251.25,28790.0,28190.099609375,28790.0,5693
2024-12-17,27610.896484375,27995.44921875,28368.5,27950.0,28250.0,11470
2024-12-18,27723.478515625,28109.599609375,28490.0,27893.75,27900.0,5681
2024-12-19,28654.7578125,29053.849609375,29243.94921875,27940.05078125,28088.0,20491
2024-12-20,28261.732421875,28655.349609375,29218.599609375,28501.0,28927.0,14576
2024-12-23,28166.85546875,28559.150390625,28864.30078125,28362.099609375,28603.0,7166
2024-12-24,28121.634765625,28513.30078125,28647.900390625,28096.0,28581.0,5768
2024-12-26,28204.18359375,28597.0,28855.849609375,28201.25,28516.0,13901
2024-12-27,28861.529296875,29263.5,29658.849609375,28590.0,28690.0,31508
2024-12-30,29393.865234375,29803.25,30035.150390625,29148.0,29150.0,25920
2024-12-31,29332.470703125,29741.0,30089.849609375,29656.849609375,29803.25,10979
2025-01-01,29607.6875,30020.05078125,30080.0,29610.05078125,29830.19921875,5346
2025-01-02,29545.75,29957.25,30186.05078125,29770.0,30020.0,6136
2025-01-03,29085.115234375,29490.19921875,30122.349609375,29352.099609375,30049.0,6842
2025-01-06,29539.19140625,29950.599609375,29989.94921875,29311.80078125,29390.19921875,12181
2025-01-07,29548.1171875,29959.650390625,30668.0,29905.05078125,30000.0,19691
2025-01-08,29201.54296875,29608.25,30200.0,29461.5,30001.05078125,9626
2025-01-09,29345.142578125,29753.849609375,29930.0,29449.94921875,29500.0,7682
2025-01-10,28377.5703125,28772.80078125,29821.94921875,28720.19921875,29748.0,7476
2025-01-13,28163.55078125,28555.80078125,28656.25,28242.099609375,28613.0,8154
2025-01-14,27847.701171875,28235.55078125,28700.099609375,28170.75,28555.80078125,10667
2025-01-15,27364.578125,27745.69921875,28464.05078125,27700.0,28370.0,11977
2025-01-16,26923.126953125,27298.099609375,27950.0,27102.44921875,27745.69921875,12359
2025-01-17,27546.05078125,27929.69921875,28103.900390625,27298.099609375,27440.0,15194
2025-01-20,27301.8515625,27682.099609375,28113.0,27421.099609375,27929.69921875,8618
2025-01-21,27251.84765625,27631.400390625,28140.099609375,27593.150390625,27750.0,9128
2025-01-22,27392.931640625,27774.44921875,27850.0,27424.05078125,27670.0,6685
2025-01-23,27467.248046875,27849.80078125,27913.94921875,27526.599609375,27800.0,4584
2025-01-24,26907.591796875,27282.349609375,27959.849609375,27222.0,27911.0,5536
2025-01-27,26153.890625,26518.150390625,27357.5,26473.0,27051.099609375,9110
2025-01-28,25345.056640625,25698.05078125,26629.099609375,25470.19921875,26518.099609375,20087
2025-01-29,25151.55078125,25501.849609375,25878.0,25325.0,25355.0,27004
2025-01-30,25770.48046875,26129.400390625,26200.0,25554.650390625,25654.650390625,7557
