date_,adj close_ofss.ns,close_ofss.ns,high_ofss.ns,low_ofss.ns,open_ofss.ns,volume_ofss.ns
2024-10-11,11026.4892578125,11556.400390625,11699.0,11401.2001953125,11468.0,87217
2024-10-14,11193.5126953125,11731.4501953125,11800.0,11515.5,11584.9501953125,69155
2024-10-15,11275.42578125,11817.2998046875,11881.849609375,11725.0,11834.9501953125,128502
2024-10-16,11041.326171875,11571.9501953125,11816.900390625,11518.2998046875,11730.0,208236
2024-10-17,10975.0126953125,11502.4501953125,11699.0,11378.9501953125,11589.9501953125,95010
2024-10-18,11052.44140625,11583.599609375,11599.0,11301.0498046875,11473.7001953125,77607
2024-10-21,10683.091796875,11196.5,11659.0,11152.0,11627.0,108502
2024-10-22,10391.1708984375,10890.5498046875,11390.0,10814.099609375,11250.0,156820
2024-10-23,10699.9326171875,11214.150390625,11402.9501953125,10872.099609375,10899.0,192175
2024-10-24,10192.56640625,10682.400390625,11365.0,10570.2998046875,11278.0,204311
2024-10-25,10388.7861328125,10888.0498046875,11154.7001953125,10428.849609375,10475.0,432097
2024-10-28,10486.3466796875,10990.2998046875,11131.599609375,10787.2998046875,10869.2001953125,102138
2024-10-29,10486.4423828125,10990.400390625,11080.0,10681.0,11075.7001953125,72733
2024-10-30,10750.359375,11267.0,11500.0,10995.0,11086.900390625,123787
2024-10-31,10387.3076171875,10886.5,11294.7001953125,10644.0,11267.0,218143
2024-11-01,10326.0986328125,10822.349609375,11099.0,10775.0,10886.5,14599
2024-11-04,10345.6103515625,10842.7998046875,10940.400390625,10725.150390625,10823.25,98808
2024-11-05,10436.779296875,10938.349609375,10949.9501953125,10775.0,10840.0,79690
2024-11-06,11030.8779296875,11561.0,11600.0,11038.099609375,11083.5498046875,145380
2024-11-07,10899.4921875,11423.2998046875,11665.2001953125,11250.0,11600.0,73472
2024-11-08,10989.9931640625,11518.150390625,11749.9501953125,11410.0,11410.0,97671
2024-11-11,11385.62890625,11932.7998046875,11985.0,11397.849609375,11500.0,160844
2024-11-12,11312.1123046875,11855.75,12141.9501953125,11783.150390625,11989.0,150298
2024-11-13,11222.8046875,11762.150390625,11977.5498046875,11681.599609375,11840.0498046875,94042
2024-11-14,11228.9111328125,11768.5498046875,12004.5,11700.099609375,11729.9501953125,108716
2024-11-18,10755.3681640625,11272.25,11844.900390625,11009.400390625,11800.4501953125,179726
2024-11-19,10656.900390625,11169.0498046875,11562.5498046875,11096.5498046875,11275.0,127844
2024-11-21,10630.99609375,11141.900390625,11280.4501953125,11020.0,11126.0,86133
2024-11-22,10988.3232421875,11516.400390625,11598.9501953125,11249.9501953125,11249.9501953125,146976
2024-11-25,11409.912109375,11958.25,12022.0,11630.0,11780.0,254970
2024-11-26,11203.9609375,11742.400390625,11994.150390625,11678.7998046875,11958.0,65699
2024-11-27,11324.5166015625,11868.75,11949.849609375,11729.150390625,11775.0,70895
2024-11-28,11123.525390625,11658.099609375,11860.0,11471.349609375,11860.0,95980
2024-11-29,11160.1171875,11696.4501953125,11836.0,11615.0498046875,11700.0,72200
2024-12-02,11704.02734375,12266.5,12299.0,11670.900390625,11695.0,115769
2024-12-03,11950.5302734375,12524.849609375,12599.0,12276.0498046875,12346.2001953125,120278
2024-12-04,11848.19921875,12417.599609375,12691.099609375,12332.2001953125,12565.0,102920
2024-12-05,11870.431640625,12440.900390625,12550.25,12290.2998046875,12460.0,118244
2024-12-06,12002.67578125,12579.5,12849.9501953125,12440.900390625,12440.900390625,125428
2024-12-09,12007.9228515625,12585.0,12715.7998046875,12503.25,12640.0,71243
2024-12-10,11683.7529296875,12245.25,12375.0,11874.650390625,12150.0,261653
2024-12-11,11685.3271484375,12246.900390625,12347.900390625,12105.0,12200.0,73779
2024-12-12,11540.7255859375,12095.349609375,12395.75,12057.849609375,12260.5,75811
2024-12-13,11720.5341796875,12283.7998046875,12308.0,12055.0,12092.7998046875,102224
2024-12-16,11884.8388671875,12456.0,12564.9501953125,12299.0,12300.25,99486
2024-12-17,11860.078125,12430.0498046875,12577.849609375,12370.7998046875,12461.900390625,81786
2024-12-18,11808.984375,12376.5,12549.75,12234.0,12418.099609375,74827
2024-12-19,12242.0712890625,12830.400390625,12924.0,11995.0,12055.4501953125,556116
2024-12-20,11685.947265625,12247.5498046875,12983.5498046875,12168.0498046875,12949.150390625,132859
2024-12-23,11706.9384765625,12269.5498046875,12398.900390625,12142.150390625,12398.900390625,314554
2024-12-24,11735.5146484375,12299.5,12453.2998046875,12225.0,12300.0,183934
2024-12-26,11716.52734375,12279.599609375,12423.2998046875,12070.0498046875,12299.900390625,132983
2024-12-27,12066.6982421875,12646.599609375,12784.75,12297.599609375,12335.0,131029
2024-12-30,12351.845703125,12945.4501953125,13220.0,12586.0,12659.9501953125,296573
2024-12-31,12202.9990234375,12789.4501953125,12888.0,12330.0498046875,12861.0498046875,202577
2025-01-01,12051.2412109375,12630.400390625,12879.9501953125,12520.5498046875,12789.4501953125,71597
2025-01-02,12068.3681640625,12648.349609375,12764.5,12610.099609375,12690.0,116848
2025-01-03,11944.04296875,12518.0498046875,12798.849609375,12430.25,12710.0,112999
2025-01-06,11450.845703125,12001.150390625,12560.0,11950.0,12444.0,91120
2025-01-07,11589.8642578125,12146.849609375,12220.0,12031.7998046875,12031.7998046875,56206
2025-01-08,11430.521484375,11979.849609375,12119.0,11557.349609375,12119.0,230698
2025-01-09,11189.3134765625,11727.0498046875,11989.9501953125,11650.0,11979.849609375,92192
2025-01-10,10926.255859375,11451.349609375,11888.900390625,11402.2001953125,11660.0,96024
2025-01-13,10349.474609375,10846.849609375,11399.9501953125,10785.0,11339.75,122849
