date_,adj close_pcbl.ns,close_pcbl.ns,high_pcbl.ns,low_pcbl.ns,open_pcbl.ns,volume_pcbl.ns
2024-09-04,494.2294921875,510.20001220703125,519.5,500.3999938964844,504.0,7051650
2024-09-05,475.82427978515625,491.20001220703125,513.9500122070312,490.0,513.0,4260354
2024-09-06,462.1171875,477.04998779296875,494.1000061035156,472.79998779296875,491.8999938964844,3615625
2024-09-09,461.3421936035156,476.25,486.3999938964844,460.0,476.75,3717888
2024-09-10,472.4338073730469,487.70001220703125,494.0,478.1499938964844,478.79998779296875,3798234
2024-09-11,468.9465026855469,484.1000061035156,494.8500061035156,481.04998779296875,489.1000061035156,2150866
2024-09-12,469.67303466796875,484.8500061035156,496.3999938964844,482.0,486.79998779296875,2168647
2024-09-13,467.0575256347656,482.1499938964844,494.5,480.6000061035156,486.79998779296875,1882321
2024-09-16,489.33758544921875,505.1499938964844,511.79998779296875,471.5,482.54998779296875,5735575
2024-09-17,484.9300231933594,500.6000061035156,524.9000244140625,491.45001220703125,506.0,10843828
2024-09-18,515.6861572265625,532.3499755859375,541.9500122070312,501.20001220703125,502.0,8994190
2024-09-19,497.1355895996094,513.2000122070312,537.75,501.95001220703125,536.0,5284703
2024-09-20,502.0274963378906,518.25,528.4000244140625,509.1000061035156,517.0,3985574
2024-09-23,505.9991149902344,522.3499755859375,527.0,515.5499877929688,520.6500244140625,2359314
2024-09-24,513.7971801757812,530.4000244140625,537.0,524.7999877929688,526.5,3153500
2024-09-25,515.008056640625,531.6500244140625,545.0,527.5499877929688,529.3499755859375,3848512
2024-09-26,525.2278442382812,542.2000122070312,548.0,520.6500244140625,533.2999877929688,3799856
2024-09-27,554.1434326171875,572.0499877929688,577.75,538.0,543.0,7018076
2024-09-30,559.5196533203125,577.5999755859375,584.4000244140625,553.2000122070312,572.0,3868003
2024-10-01,553.3200073242188,571.2000122070312,577.5499877929688,566.5,576.4500122070312,2147426
2024-10-03,537.7724609375,555.1500244140625,571.9500122070312,552.0,558.0,2299668
2024-10-04,524.7434692382812,541.7000122070312,561.5,528.7000122070312,553.5499877929688,3354778
2024-10-07,486.47991943359375,502.20001220703125,553.9500122070312,493.3500061035156,546.7000122070312,4822139
2024-10-08,484.1065979003906,499.75,514.0,483.29998779296875,500.95001220703125,4675271
2024-10-09,491.32342529296875,507.20001220703125,524.0,502.3999938964844,504.0,2440182
2024-10-10,503.18994140625,519.4500122070312,527.5,510.70001220703125,512.8499755859375,1806167
2024-10-11,492.6795959472656,508.6000061035156,520.4000244140625,507.0,519.4000244140625,1075908
2024-10-14,482.0723571777344,497.6499938964844,515.7000122070312,495.0,509.1499938964844,1601247
2024-10-15,486.67364501953125,502.3999938964844,506.75,488.20001220703125,498.95001220703125,1431343
2024-10-16,484.8815612792969,500.54998779296875,511.79998779296875,491.3999938964844,502.3999938964844,1812665
2024-10-17,465.7497863769531,480.79998779296875,504.79998779296875,478.0,502.1000061035156,2062694
2024-10-18,467.4934387207031,482.6000061035156,493.54998779296875,465.1000061035156,480.0,2215115
2024-10-21,450.5412292480469,465.1000061035156,489.5,462.0,484.0,2034037
2024-10-22,423.80517578125,437.5,465.1000061035156,433.29998779296875,465.0,3414904
2024-10-23,443.5181884765625,457.8500061035156,465.0,434.1499938964844,437.5,2599726
2024-10-24,427.1471862792969,440.95001220703125,457.95001220703125,439.0,457.95001220703125,1019380
2024-10-25,415.5712585449219,429.0,445.0,422.6000061035156,440.29998779296875,2095568
2024-10-28,433.9280700683594,447.95001220703125,452.8999938964844,421.1499938964844,425.0,1841500
2024-10-29,427.53466796875,441.3500061035156,454.29998779296875,432.45001220703125,451.0,3262174
2024-10-30,419.97882080078125,433.54998779296875,449.0,430.29998779296875,442.3500061035156,1884994
2024-10-31,398.0862731933594,410.95001220703125,439.45001220703125,408.04998779296875,437.0,3316624
2024-11-01,419.78509521484375,433.3500061035156,442.0,416.1000061035156,416.70001220703125,2578719
2024-11-04,404.8186950683594,417.8999938964844,426.95001220703125,409.04998779296875,424.25,2804355
2024-11-05,410.2434387207031,423.5,425.5,413.0,418.0,1450905
2024-11-06,429.1814270019531,443.04998779296875,448.8999938964844,426.8999938964844,430.95001220703125,2541903
2024-11-07,417.79925537109375,431.29998779296875,447.79998779296875,428.20001220703125,444.95001220703125,1698087
2024-11-08,406.02960205078125,419.1499938964844,435.04998779296875,417.6499938964844,431.29998779296875,1287159
2024-11-11,400.31427001953125,413.25,424.0,410.8500061035156,416.1499938964844,1360871
2024-11-12,391.7897644042969,404.45001220703125,424.8999938964844,401.5,415.0,1316916
