date_,adj close_pghh.ns,close_pghh.ns,high_pghh.ns,low_pghh.ns,open_pghh.ns,volume_pghh.ns
2024-09-27,16105.4892578125,16413.150390625,16519.94921875,16331.2998046875,16519.94921875,3840
2024-09-30,16362.087890625,16674.650390625,16724.94921875,16427.25,16449.94921875,5352
2024-10-01,16416.44921875,16730.05078125,16798.94921875,16501.0,16679.94921875,3828
2024-10-03,16321.462890625,16633.25,16825.0,16500.0,16724.0,6104
2024-10-04,16440.197265625,16754.25,16790.0,16405.0,16665.900390625,6580
2024-10-07,16329.36328125,16641.30078125,16780.0,16425.599609375,16780.0,6651
2024-10-08,16392.115234375,16705.25,16820.5,16480.0,16643.0,3444
2024-10-09,16567.4140625,16883.900390625,16900.0,16642.25,16642.25,4020
2024-10-10,16438.673828125,16752.69921875,17011.0,16637.849609375,16883.599609375,17226
2024-10-11,16323.083984375,16634.900390625,16824.349609375,16605.0,16792.69921875,1054
2024-10-14,16185.2646484375,16494.44921875,16698.599609375,16412.69921875,16623.05078125,26971
2024-10-15,16047.8408203125,16354.400390625,16550.0,16230.9501953125,16550.0,22004
2024-10-16,16249.8818359375,16560.30078125,16636.650390625,16263.150390625,16350.0,3370
2024-10-17,16276.1787109375,16587.099609375,16648.44921875,16432.599609375,16560.30078125,1834
2024-10-18,15746.986328125,16047.7998046875,16724.25,15511.150390625,16580.0,18971
2024-10-21,16100.337890625,16407.900390625,16549.94921875,15982.650390625,16029.25,4405
2024-10-22,15828.5302734375,16130.900390625,16349.900390625,15888.25,16317.349609375,5288
2024-10-23,15995.931640625,16301.5,16350.0,15854.849609375,16138.849609375,5998
2024-10-24,15942.35546875,16246.900390625,16309.5498046875,16070.0,16181.0,3066
2024-10-25,15627.17578125,15925.7001953125,16263.9501953125,15700.0,16247.0,7792
2024-10-28,15571.7841796875,15869.25,16100.0,15448.7998046875,15925.7001953125,14516
2024-10-29,16107.451171875,16415.150390625,16572.0,15827.4501953125,15869.0,5750
2024-10-30,15943.189453125,16247.75,16424.05078125,16146.150390625,16292.0,13629
2024-10-31,15792.02734375,16093.7001953125,16394.30078125,15950.0,16246.349609375,7177
2024-11-01,15953.345703125,16258.099609375,16389.94921875,16200.0,16293.0,872
2024-11-04,15788.935546875,16090.5498046875,16333.0,15905.0,16299.0498046875,3992
2024-11-05,15696.845703125,15996.7001953125,16406.94921875,15954.349609375,16119.900390625,9690
2024-11-06,15577.8193359375,15875.400390625,16094.150390625,15851.0,16050.0,4817
2024-11-07,15166.57421875,15456.2998046875,15963.2998046875,15372.75,15850.0498046875,26345
2024-11-08,15261.658203125,15553.2001953125,15869.0,15500.0,15559.0,15987
2024-11-11,15187.0830078125,15477.2001953125,15668.9501953125,15374.599609375,15600.0,12533
2024-11-12,15355.5654296875,15648.900390625,15839.7001953125,15401.0,15500.0,40582
2024-11-13,15243.7509765625,15534.9501953125,15792.9501953125,15346.0,15510.0,28976
2024-11-14,15409.6318359375,15704.0,15839.9501953125,15450.0,15550.0,11048
2024-11-18,15404.2841796875,15698.5498046875,15895.0,15540.2001953125,15704.0,3014
2024-11-19,15598.62109375,15800.400390625,15848.9501953125,15632.150390625,15711.4501953125,2521
2024-11-21,15673.3037109375,15876.0498046875,16250.0,15580.0,15806.849609375,5751
2024-11-22,15667.578125,15870.25,15994.0498046875,15737.25,15968.0,3992
2024-11-25,15706.72265625,15909.900390625,16000.0,15743.150390625,15872.0,6200
2024-11-26,15714.81640625,15918.099609375,15999.0,15868.9501953125,15999.0,1754
2024-11-27,15715.0146484375,15918.2998046875,15965.099609375,15637.5498046875,15923.400390625,5623
2024-11-28,15683.47265625,15886.349609375,15943.9501953125,15787.5,15886.900390625,6327
2024-11-29,15688.26171875,15891.2001953125,15963.2998046875,15797.5,15963.2998046875,2473
2024-12-02,15715.953125,15919.25,15999.0,15786.5,15900.0,3438
2024-12-03,15714.521484375,15917.7998046875,15946.7998046875,15775.0,15919.25,3922
