date_,adj close_pageind.ns,close_pageind.ns,high_pageind.ns,low_pageind.ns,open_pageind.ns,volume_pageind.ns
2024-09-02,41023.62890625,41844.6015625,42615.55078125,41707.0,42520.55078125,15302
2024-09-03,41138.91796875,41962.19921875,42154.0,41703.5,41813.55078125,7055
2024-09-04,40456.234375,41265.8515625,41967.8515625,41080.1015625,41620.0,12986
2024-09-05,40246.7734375,41052.19921875,41607.19921875,40949.94921875,41250.0,17009
2024-09-06,39568.54296875,40360.3984375,41270.0,40262.6015625,41270.0,17008
2024-09-09,39525.1171875,40316.1015625,40550.0,40040.0,40550.0,11177
2024-09-10,39586.6796875,40378.8984375,40834.8984375,40316.1015625,40400.0,8622
2024-09-11,41002.6484375,41823.19921875,42551.94921875,40300.0,40400.0,54335
2024-09-12,42411.94921875,43260.69921875,43584.05078125,41781.0,41816.0,56171
2024-09-13,42512.7734375,43363.55078125,43744.25,43000.0,43200.0,25427
2024-09-16,42210.8671875,43055.6015625,43943.5,42799.0,43740.0,21161
2024-09-17,42529.88671875,43381.0,43546.55078125,42952.30078125,43070.0,12632
2024-09-18,42207.3359375,43052.0,44100.0,42603.8984375,43500.0,29499
2024-09-19,42171.26171875,43015.19921875,43887.94921875,42457.69921875,43110.19921875,16911
2024-09-20,42208.3125,43053.0,43500.0,42801.05078125,43299.0,58654
2024-09-23,42173.6640625,43017.6484375,43437.3515625,42800.05078125,43094.6015625,47600
2024-09-24,41135.4375,41958.6484375,43339.80078125,41805.05078125,43339.80078125,36371
2024-09-25,41097.59765625,41920.05078125,42099.94921875,41220.0,42000.0,15582
2024-09-26,41208.52734375,42033.19921875,42220.1015625,41380.0,41920.05078125,15182
2024-09-27,41209.359375,42034.05078125,42615.0,41857.25,41950.0,30027
2024-09-30,42062.4375,42904.19921875,42961.6015625,41727.80078125,42025.0,22288
2024-10-01,41876.2109375,42714.25,42944.0,42228.55078125,42570.1015625,16016
2024-10-03,40846.125,41663.55078125,42586.0,41447.0,42484.25,22241
2024-10-04,40577.50390625,41389.55078125,42282.80078125,41116.44921875,41800.0,22836
2024-10-07,40606.328125,41418.94921875,42006.44921875,40805.0,42006.44921875,27657
2024-10-08,41437.84375,42267.1015625,42366.0,41111.0,41290.0,19405
2024-10-09,43073.40234375,43935.3984375,44179.0,42269.94921875,42269.94921875,49967
2024-10-10,43298.55078125,44165.05078125,44249.8984375,43786.8984375,43935.3984375,20708
2024-10-11,44480.0078125,45370.1484375,46100.0,44602.0,44602.0,57301
2024-10-14,44752.90234375,45648.5,46002.0,44800.0,44800.0,35069
2024-10-15,45350.140625,46257.69921875,46496.8984375,45560.0,45654.94921875,51464
2024-10-16,45679.015625,46593.1484375,46810.3984375,46010.0,46300.0,33728
2024-10-17,44571.7734375,45463.75,46749.30078125,45321.55078125,46450.0,16313
2024-10-18,44676.57421875,45570.6484375,45882.3984375,45016.80078125,45465.0,9883
2024-10-21,43642.2734375,44515.6484375,45900.0,44309.1015625,45451.0,19251
2024-10-22,43196.69140625,44061.1484375,44929.3984375,43915.55078125,44601.0,18560
2024-10-23,42298.76171875,43145.25,44246.80078125,42856.05078125,43800.0,14438
2024-10-24,42589.296875,43441.6015625,44325.0,42845.0,43050.0,9914
2024-10-25,42194.203125,43038.6015625,44231.8984375,42639.0,43640.0,17424
2024-10-28,41659.79296875,42493.5,43483.8984375,42300.0,42800.0,10711
2024-10-29,42501.94140625,43352.5,43841.8515625,42580.1015625,42880.0,19209
2024-10-30,42407.71875,43256.3984375,43770.0,42856.1015625,43300.0,10872
2024-10-31,42316.94921875,43163.80078125,43500.0,42718.1015625,43275.0,18604
2024-11-01,42548.21875,43399.69921875,43499.94921875,43163.80078125,43325.0,934
2024-11-04,42192.68359375,43037.05078125,43620.0,42621.05078125,43500.0,15803
2024-11-05,42524.1953125,43375.19921875,43499.94921875,42670.1015625,42756.0,13556
2024-11-06,43287.078125,44153.3515625,44296.0,43327.69921875,43399.0,12241
2024-11-07,44179.9609375,45064.1015625,45490.0,43784.8984375,44400.0,55886
2024-11-08,47061.10546875,48002.8984375,48333.0,44800.19921875,44850.0,175762
2024-11-11,46416.40234375,47345.30078125,48393.69921875,47240.6484375,47800.0,26937
2024-11-12,46182.98046875,47107.19921875,48000.0,47021.3984375,47573.05078125,30704
2024-11-13,44957.109375,45856.80078125,47334.55078125,45612.05078125,47139.55078125,41753
2024-11-14,44730.828125,45377.25,46158.0,45213.3984375,45979.94921875,23936
2024-11-18,43469.85546875,44098.05078125,45646.1484375,43969.55078125,45450.0,15803
2024-11-19,43971.40625,44606.8515625,45280.0,44300.0,44300.0,34629
2024-11-21,43814.5234375,44447.69921875,45210.19921875,44111.1484375,44700.0,24893
2024-11-22,44127.7421875,44765.44921875,45159.6015625,44401.05078125,44499.69921875,97797
2024-11-25,44840.09765625,45488.1015625,46189.5,45101.0,45101.0,59101
2024-11-26,44839.36328125,45487.3515625,45926.30078125,45324.3984375,45600.0,23772
2024-11-27,44330.76171875,44971.3984375,45770.0,44826.3515625,45770.0,22236
