symbol,yahoo_symbol,market_cap_cr,date
FINPIPE,FINPIPE.NS,10923.13,2026-01-18
TITAGARH,TITAGARH.NS,10853.36,2026-01-18
PCBL,PCBL.NS,10805.99,2026-01-18
NEWGEN,NEWGEN.NS,10557.0,2026-01-18
ENGINERSIN,ENGINERSIN.NS,10528.11,2026-01-18
MGL,MGL.NS,10496.13,2026-01-18
HFCL,HFCL.NS,10407.3,2026-01-18
GODREJAGRO,GODREJAGRO.NS,10402.41,2026-01-18
MMTC,MMTC.NS,10339.72,2026-01-18
WHIRLPOOL,WHIRLPOOL.NS,10174.49,2026-01-18
INOXINDIA,INOXINDIA.NS,10166.42,2026-01-18
VIJAYA,VIJAYA.NS,10164.14,2026-01-18
PVRINOX,PVRINOX.NS,10104.78,2026-01-18
ACE,ACE.NS,10094.92,2026-01-18
SCI,SCI.NS,9905.22,2026-01-18
METROPOLIS,METROPOLIS.NS,9865.69,2026-01-18
JINDALSAW,JINDALSAW.NS,9856.65,2026-01-18
NCC,NCC.NS,9431.51,2026-01-18
SONATSOFTW,SONATSOFTW.NS,9406.57,2026-01-18
RHIM,RHIM.NS,9405.4,2026-01-18
JYOTHYLAB,JYOTHYLAB.NS,9351.12,2026-01-18
HONASA,HONASA.NS,9302.32,2026-01-18
CLEAN,CLEAN.NS,9164.47,2026-01-18
OLECTRA,OLECTRA.NS,9094.89,2026-01-18
TTML,TTML.NS,8992.67,2026-01-18
LATENTVIEW,LATENTVIEW.NS,8988.82,2026-01-18
RKFORGE,RKFORGE.NS,8980.56,2026-01-18
